Month	Day	Lake	Site	Length	Infection
May	1	Batorino	S3	14.9	36
May	1	Batorino	S3	14	30
May	1	Batorino	S3	13	331
May	1	Batorino	S3	14	110
May	1	Batorino	S3	12	4
May	1	Batorino	S3	14	171
May	1	Batorino	S3	12	31
May	1	Batorino	S3	19	887
May	1	Batorino	S3	16.5	525
May	1	Batorino	S3	18	497
May	1	Batorino	S3	19	56
May	1	Batorino	S3	19	1599
May	1	Batorino	S3	19	692
May	1	Batorino	S3	23	86
May	1	Batorino	S3	22	1768
May	1	Batorino	S3	22	183
May	1	Batorino	S3	22	1209
May	1	Batorino	S2	11.5	53
May	1	Batorino	S2	13	21
May	1	Batorino	S2	11.5	70
May	1	Batorino	S2	11.5	79
May	1	Batorino	S2	18	55
May	1	Batorino	S2	18	353
May	1	Batorino	S2	19	261
May	1	Batorino	S2	16	131
May	1	Batorino	S2	19	69
May	1	Batorino	S2	17.5	280
May	1	Batorino	S2	18.5	17
May	1	Batorino	S2	21	32
May	1	Batorino	S2	21	118
May	1	Batorino	S2	21	389
May	1	Batorino	S1	13	182
May	1	Batorino	S1	14	36
May	1	Batorino	S1	12	320
May	1	Batorino	S1	14	235
May	1	Batorino	S1	14	109
May	1	Batorino	S1	13	121
May	1	Batorino	S1	14	119
May	1	Batorino	S1	17	217
May	1	Batorino	S1	15.5	135
May	1	Batorino	S1	15	215
May	1	Batorino	S1	18.5	241
May	1	Batorino	S1	17	447
May	1	Batorino	S1	16	766
May	1	Batorino	S1	16	950
July	62	Batorino	S3	15.5	1400
July	62	Batorino	S3	17	1086
July	62	Batorino	S3	16	925
July	62	Batorino	S3	17	2400
July	62	Batorino	S3	16	132
July	62	Batorino	S3	15	703
July	62	Batorino	S3	15	668
July	62	Batorino	S3	23	1716
July	62	Batorino	S3	22	1649
July	62	Batorino	S3	22.5	684
July	62	Batorino	S3	23	1418
July	62	Batorino	S3	22.5	1007
July	62	Batorino	S3	25	827
July	62	Batorino	S3	25	2551
July	62	Batorino	S2	18	809
July	62	Batorino	S2	16	891
July	62	Batorino	S2	15.5	473
July	62	Batorino	S2	17	1292
July	62	Batorino	S2	17.5	119
July	62	Batorino	S2	21	655
July	62	Batorino	S2	21	291
July	62	Batorino	S2	23	576
July	62	Batorino	S2	22.5	1845
July	62	Batorino	S2	21	25
July	62	Batorino	S2	21	1176
July	62	Batorino	S2	23	977
July	62	Batorino	S2	26	676
July	62	Batorino	S2	26.5	1303
July	62	Batorino	S1	14.5	327
July	62	Batorino	S1	14	230
July	62	Batorino	S1	19	659
July	62	Batorino	S1	19	1018
July	62	Batorino	S1	19	1235
July	62	Batorino	S1	17	121
July	62	Batorino	S1	15.5	789
July	62	Batorino	S1	16	2093
July	62	Batorino	S1	17	434
July	62	Batorino	S1	20	2658
July	62	Batorino	S1	21	948
July	62	Batorino	S1	22	2115
September	109	Batorino	S3	18	1397
September	109	Batorino	S3	16	1106
September	109	Batorino	S3	17.5	1103
September	109	Batorino	S3	17	499
September	109	Batorino	S3	16	1248
September	109	Batorino	S3	16	486
September	109	Batorino	S3	20.5	1666
September	109	Batorino	S3	21	510
September	109	Batorino	S3	21	2084
September	109	Batorino	S3	21.5	2897
September	109	Batorino	S3	23	782
September	109	Batorino	S3	22.5	505
September	109	Batorino	S3	23	972
September	109	Batorino	S3	26.5	1202
September	109	Batorino	S3	21	366
September	109	Batorino	S2	18	1951
September	109	Batorino	S2	18	1438
September	109	Batorino	S2	17.5	775
September	109	Batorino	S2	22	314
September	109	Batorino	S2	20.5	1479
September	109	Batorino	S2	21	457
September	109	Batorino	S2	20	648
September	109	Batorino	S2	21	356
September	109	Batorino	S2	20	170
September	109	Batorino	S2	20.5	1094
September	109	Batorino	S2	28	1368
September	109	Batorino	S2	25.5	721
September	109	Batorino	S2	25.5	711
September	109	Batorino	S2	25.5	233
September	109	Batorino	S1	17.5	2234
September	109	Batorino	S1	16	1613
September	109	Batorino	S1	12	1178
September	109	Batorino	S1	16	547
September	109	Batorino	S1	17	694
September	109	Batorino	S1	17.5	1090
September	109	Batorino	S1	17	347
September	109	Batorino	S1	21	1436
September	109	Batorino	S1	21	1069
September	109	Batorino	S1	23	580
September	109	Batorino	S1	22.5	1553
September	109	Batorino	S1	22.5	1274
September	109	Batorino	S1	21	856
May	1	Myastro	S5	4	0
May	1	Myastro	S5	4	6
May	1	Myastro	S5	9.5	40
May	1	Myastro	S5	7.5	81
May	1	Myastro	S5	8.5	87
May	1	Myastro	S5	9.5	54
May	1	Myastro	S5	7	37
May	1	Myastro	S5	8.5	41
May	1	Myastro	S5	7	9
May	1	Myastro	S5	13.5	211
May	1	Myastro	S5	12.5	243
May	1	Myastro	S5	13	349
